Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,0061142026,9780061142024,0,4.08,Harper Perennial,Paperback,248,2006,1998,,5/26/2021,to-read,to-read (#189),to-read,,,,0,,,0,,,,,
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,006441034X,9780064410342,0,4.25,Harper Trophy,Mass Market Paperback,329,2001,1986,,5/26/2021,to-read,to-read (#188),to-read,,,,0,,,0,,,,,
49392855,The Two Towers,J.R.R. Tolkien,"Tolkien, J.R.R.",Alan Lee,0008376131,9780008376130,0,4.45,HarperCollins,Hardcover,385,2020,1954,,10/8/2020,"owned, currently-reading","owned (#36), currently-reading (#3)",currently-reading,,,,2,,,1,,,unspecified,,
6568440,Notes from Underground,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",,,,4,4.15,,Kindle Edition,,,1864,5/26/2021,2/18/2021,"owned, reread","owned (#189), reread (#37)",read,,,,1,,,1,,,unspecified,,
54419239,Meet Me in Paradise,Libby Hubscher,"Hubscher, Libby",,0593199421,9780593199428,0,4.04,Berkley Books,Paperback,352,2021,2021,,5/15/2021,"owned, currently-reading","owned (#119), currently-reading (#2)",currently-reading,,,,1,,,1,,,unspecified,,
55583233,The Sea in the Sky,Jackson Musker,"Musker, Jackson",,,,0,3.93,"Audible Originals, LLC",Audiobook,,2020,,,5/25/2021,dnf,dnf (#43),dnf,,,,0,,,0,,,,,
20493888,"Guards! Guards! (Discworld, #8)",Terry Pratchett,"Pratchett, Terry",,1473200180,9781473200180,0,4.29,Gollancz,Hardcover,344,2014,1989,,5/25/2021,"to-read, tbr","to-read (#187), tbr (#28)",to-read,,,,0,,,0,,,,,
34643771,"Going Postal (Discworld, #33)",Terry Pratchett,"Pratchett, Terry",,0857525085,9780857525086,0,4.36,Doubleday,Hardcover,496,2017,2004,,4/30/2021,"to-read, tbr","to-read (#153), tbr (#27)",to-read,,,,0,,,0,,,,,
3577453,Golem XIV,Stanisław Lem,"Lem, Stanisław",Jozef Marušiak,8088965713,,0,4.02,Drewo a srd ,,165,2003,1973,,5/25/2021,to-read,to-read (#186),to-read,,,,0,,,0,,,,,
28372019,"The Bookshop on the Corner (Scottish Bookshop, #1)",Jenny Colgan,"Colgan, Jenny",,0062467263,9780062467263,3,3.84,William Morrow Paperbacks,ebook,384,2016,2016,5/25/2021,12/22/2020,owned,owned (#134),read,,,,1,,,1,,,unspecified,,
25480342,A Monster Calls,Patrick Ness,"Ness, Patrick",,1406361801,9781406361803,0,4.32,Walker Books,Paperback,237,2015,2011,,11/28/2020,"to-read, owned, tbr","to-read (#53), owned (#185), tbr (#25)",to-read,,,,0,,,0,,,,,
894459,The Dispossessed,Ursula K. Le Guin,"Guin, Ursula K. Le",,0575079037,9780575079038,4,4.2,Gollancz,Paperback,336,2006,1974,5/13/2021,3/16/2021,owned,owned (#191),read,,,,1,,,1,,,unspecified,,
1391753,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,0575079207,9780575079205,4,4.15,Gollancz,Paperback,224,2006,1959,,11/21/2019,"reread, owned","reread (#19), owned (#190)",read,,,,1,,,1,,,unspecified,,
56078386,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,"Taylor, Dennis E.",,,,4,4.33,Ethan Ellenberg Literary Agency,Kindle Edition,608,2021,2020,5/24/2021,2/20/2021,owned,owned (#1),read,,,,1,,,1,,,unspecified,,
22240844,Escape From Warsaw (Original Title: The Silver Sword),Ian Serraillier,"Serraillier, Ian",,0590401459,,0,4.02,"Scholastic, Inc.",Paperback,218,,1956,,5/21/2021,"reread, owned","reread (#35), owned (#188)",read,,,,1,,,1,,,unspecified,,
1553778,The Emperor and the Nightingale,Alison Ainsworth,"Ainsworth, Alison","Hans Christian Andersen, Chris Russell",0721410545,9780721410548,0,4.02,Ladybird Books,Hardcover,51,,,,5/21/2021,,,read,,,,1,,,0,,,,,
48117,The Boy Who Made Dragonfly: A Zuni Myth,Tony Hillerman,"Hillerman, Tony",Janet Grado,0826309100,9780826309105,0,4.17,University of New Mexico Press,Paperback,81,1993,1972,,5/21/2021,,,read,,,,1,,,0,,,,,
36073085,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,,,0,4.23,Spectra,Kindle Edition,483,2011,1989,,12/6/2020,"to-read, owned","to-read (#63), owned (#132)",to-read,,,,0,,,1,,,unspecified,,
1006559,Pushing Ice,Alastair Reynolds,"Reynolds, Alastair",,0575078154,9780575078154,0,4.05,Gollancz,Paperback,514,2006,2005,,12/29/2020,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
912471,Lord of Light,Roger Zelazny,"Zelazny, Roger",,0575079010,9780575079014,0,4.07,Gollancz,Paperback,320,2006,1967,,12/29/2020,"to-read, owned, tbr","to-read (#77), owned (#161), tbr (#24)",to-read,,,,0,,,1,,,unspecified,,
